7829,"ул. Шоссейная, д. 50, Москва
","57.9665013,49.1074792"
14603,"ул. Кирпичная, д. 50, Москва
","57.9665013,49.1074792"
15870,"ул. Металлургов, д. 50, Москва
","57.9665013,49.1074792"
19383,"д. г Кольчугино ул 50 лет Октября д.7
","56.2962532,39.3723255"
21415,"г. Нижний Новгород, кп. Зеленый Город, тер. Детский оздоровительный лагерь Чайка, д. 1и
","56.173462,44.068159"
21989,"г. Нижний Новгород, кп. Зеленый Город, тер. Детский оздоровительный лагерь Чайка, д. 5л
","56.173462,44.068159"
3295,"г. Зеленоград, к. 145, Москва
","56.009149,37.207123"
3296,"г. Зеленоград, к. 147, Москва
","56.008465,37.206413"
3325,"г. Зеленоград, к. 117, Москва
","56.007121,37.203817"
3297,"г. Зеленоград, к. 200А, Москва
","56.006693,37.201024"
2908,"г. Зеленоград, к. 119, Москва
","56.006532,37.20591"
2904,"г. Зеленоград, к. 109, Москва
","56.006356,37.208884"
3298,"г. Зеленоград, к. 200Б, Москва
","56.005979,37.200341"
2910,"г. Зеленоград, к. 250, Москва
","56.005953,37.203224"
3299,"г. Зеленоград, к. 200В, Москва
","56.005264,37.199658"
3326,"г. Зеленоград, к. 249, Москва
","56.00467,37.204689"
3301,"г. Зеленоград, к. 231, Москва
","56.003336,37.203413"
3302,"г. Зеленоград, к. 232, Москва
","56.003064,37.202847"
2905,"г. Зеленоград, к. 239, Москва
","56.002556,37.206324"
9106,"г. Зеленоград, к. 235, Москва
","56.00242,37.203665"
2804,"г. Зеленоград, к. 241, Москва
","56.002345,37.207464"
2909,"г. Зеленоград, к. 240, Москва
","56.001428,37.207285"
3291,"г. Зеленоград, к. 301А, Москва
","56.000396,37.210761"
3292,"г. Зеленоград, к. 301Б, Москва
","55.99943,37.211363"
2906,"г. Зеленоград, к. 453, Москва
","55.999088,37.203566"
3321,"г. Зеленоград, к. 454, Москва
","55.999012,37.20786"
3303,"г. Зеленоград, к. 405, Москва
","55.998816,37.208839"
2907,"г. Зеленоград, к. 469, Москва
","55.998252,37.203871"
3305,"г. Зеленоград, к. 410, Москва
","55.998161,37.206539"
3304,"г. Зеленоград, к. 409, Москва
","55.998041,37.207536"
3293,"г. Зеленоград, к. 302А, Москва
","55.997552,37.212504"
3322,"г. Зеленоград, к. 455, Москва
","55.996802,37.209243"
3294,"г. Зеленоград, к. 302Б, Москва
","55.996591,37.213079"
3310,"г. Зеленоград, к. 433, Москва
","55.99654,37.210159"
3306,"г. Зеленоград, к. 424А, Москва
","55.996163,37.204096"
